mno,pno,grade
8,8,5
8,12,5
8,13,4
8,5,2
8,7,5
8,104,2
8,106,1
8,107,5
8,103,2
8,115,1
9,15,4
9,20,1
9,12,1
9,9,5
9,5,1
9,108,3
9,110,2
9,106,1
9,105,2
9,103,4
10,19,4
10,2,5
10,14,3
10,16,5
10,1,2
10,110,2
10,101,1
10,107,5
10,108,1
10,115,1
11,15,1
11,28,4
11,18,4
11,30,4
11,25,1
11,108,4
11,114,3
11,109,1
11,115,1
11,112,2
12,16,2
12,9,4
12,22,3
12,17,4
12,12,5
12,108,5
12,105,2
12,111,5
12,109,4
12,113,3
13,9,1
13,10,4
13,22,1
13,30,2
13,26,5
13,105,1
13,115,3
13,111,3
13,113,3
13,103,5
14,4,2
14,20,1
14,23,5
14,25,3
14,21,2
14,102,1
14,110,5
14,112,3
14,111,1
14,109,4
15,7,1
15,1,3
15,17,1
15,24,3
15,2,1
15,104,2
15,101,4
15,109,2
15,112,3
15,114,4
16,12,2
16,16,2
16,10,3
16,14,3
16,8,4
16,106,2
16,108,3
16,114,5
16,105,3
16,107,4
17,17,3
17,14,2
17,26,3
17,10,1
17,12,2
17,109,1
17,107,5
17,113,3
17,105,1
17,106,1
18,6,3
18,4,5
18,22,5
18,15,4
18,11,5
18,103,3
18,102,3
18,111,1
18,108,5
18,106,4
19,22,5
19,2,4
19,26,4
19,29,2
19,17,2
19,111,4
19,101,1
19,113,2
19,109,3
19,102,2
20,29,2
20,24,4
20,22,1
20,26,4
20,25,5
20,115,3
20,112,5
20,111,3
20,103,3
20,105,1
21,6,4
21,14,1
21,23,2
21,21,1
21,10,5
21,103,3
21,107,4
21,112,3
21,114,2
21,111,2
22,30,4
22,5,1
22,8,3
22,1,5
22,20,1
22,115,4
22,103,1
22,104,2
22,101,5
22,110,2
23,30,1
23,25,3
23,10,5
23,29,4
23,27,1
23,115,2
23,113,3
23,105,5
23,102,2
23,101,1
24,23,3
24,13,3
24,27,3
24,19,2
24,6,2
24,112,5
24,107,4
24,110,4
24,103,5
24,104,2
25,13,2
25,25,3
25,30,2
25,27,3
25,1,1
25,107,2
25,113,4
25,101,1
25,104,5
25,105,5
26,24,3
26,30,3
26,7,5
26,22,1
26,14,3
26,112,2
26,104,3
26,111,3
26,114,1
26,107,1
27,21,4
27,16,1
27,23,4
27,9,1
27,10,4
27,111,1
27,108,3
27,112,2
27,105,5
27,113,1
28,4,2
28,24,5
28,5,1
28,18,2
28,20,4
28,134,2
28,135,1
28,148,4
28,136,5
28,138,3
29,18,1
29,3,1
29,12,3
29,20,3
29,28,5
29,148,1
29,133,5
29,142,3
29,140,5
29,149,3
30,18,5
30,26,1
30,10,1
30,20,3
30,1,4
30,148,3
30,140,1
30,131,2
30,137,1
30,139,2
31,1,3
31,16,4
31,4,1
31,25,3
31,13,4
31,131,4
31,146,4
31,134,5
31,143,5
31,135,2
32,3,2
32,30,2
32,7,1
32,5,2
32,10,4
32,133,5
32,137,1
32,135,4
32,140,2
32,138,1
33,19,5
33,6,5
33,21,4
33,8,4
33,27,1
33,149,2
33,136,4
33,138,3
33,139,4
33,146,1
34,17,4
34,12,2
34,19,5
34,1,1
34,27,2
34,147,4
34,142,1
34,131,4
34,138,2
34,148,5
35,18,3
35,11,3
35,25,2
35,5,4
35,24,1
35,148,2
35,141,3
35,135,2
35,149,2
35,150,5
36,11,2
36,2,2
36,1,4
36,26,4
36,30,4
36,141,5
36,132,3
36,131,2
36,140,4
36,133,3
37,22,4
37,20,4
37,3,2
37,30,4
37,27,4
37,150,3
37,133,1
37,147,5
37,132,2
37,142,1
38,21,3
38,14,1
38,25,1
38,24,3
38,4,4
38,144,2
38,150,2
38,134,5
38,133,4
38,142,2
39,7,4
39,9,1
39,13,2
39,1,3
39,8,3
39,137,3
39,139,3
39,143,3
39,131,5
39,150,3
40,15,1
40,19,1
40,29,2
40,17,5
40,2,4
40,145,4
40,149,4
40,147,5
40,132,1
40,138,1
41,13,5
41,11,4
41,8,3
41,6,4
41,29,1
41,143,2
41,141,1
41,138,2
41,136,1
41,150,2
42,21,1
42,4,5
42,1,3
42,24,2
42,9,3
42,134,4
42,131,3
42,139,5
42,138,3
42,147,1
43,2,5
43,10,4
43,23,5
43,25,5
43,5,1
43,132,4
43,140,5
43,135,1
43,145,3
43,142,3
44,14,4
44,17,3
44,18,2
44,23,4
44,28,4
44,144,1
44,147,1
44,148,2
44,134,3
44,136,3
45,9,4
45,14,2
45,16,2
45,3,3
45,10,2
45,139,2
45,144,5
45,146,4
45,150,5
45,133,2
46,29,1
46,3,1
46,13,3
46,2,2
46,19,1
46,133,2
46,143,3
46,132,4
46,138,5
46,135,4
47,12,4
47,3,2
47,14,4
47,18,5
47,15,1
47,142,4
47,133,5
47,144,1
47,145,3
47,141,2
48,36,3
48,21,1
48,9,1
48,46,3
48,35,4
48,159,3
48,156,3
48,153,2
48,165,3
48,162,4
49,5,4
49,23,1
49,27,4
49,8,1
49,21,4
49,152,5
49,156,3
49,157,2
49,165,4
49,164,5
50,32,2
50,18,5
50,24,4
50,41,3
50,16,1
50,158,5
50,164,4
50,155,5
50,156,4
50,161,4
51,16,4
51,33,2
51,36,4
51,11,5
51,15,1
51,154,2
51,164,2
51,159,3
51,163,4
51,153,2
52,18,5
52,4,2
52,47,4
52,33,5
52,31,3
52,155,3
52,151,2
52,162,1
52,159,4
52,158,2
53,40,4
53,14,2
53,30,5
53,33,1
53,46,1
53,160,2
53,164,1
53,154,2
53,158,5
53,159,5
54,9,2
54,29,2
54,36,4
54,20,4
54,31,2
54,165,3
54,153,4
54,158,4
54,159,1
54,155,2
55,6,1
55,13,3
55,10,4
55,48,2
55,20,4
55,152,2
55,154,1
55,153,1
55,162,5
55,155,2
56,36,1
56,1,5
56,31,5
56,42,4
56,34,5
56,164,1
56,159,1
56,151,2
56,158,4
56,161,5
57,3,4
57,24,4
57,38,5
57,39,4
57,2,1
57,151,1
57,156,3
57,160,3
57,163,1
57,165,1
58,38,3
58,13,5
58,14,4
58,48,5
58,42,2
58,160,3
58,154,2
58,164,2
58,162,4
58,161,1
59,15,3
59,6,2
59,42,4
59,30,4
59,2,4
59,154,5
59,152,3
59,161,4
59,158,2
59,151,3
60,20,5
60,19,5
60,37,5
60,10,2
60,17,5
60,155,5
60,165,4
60,160,5
60,153,5
60,164,4
61,32,1
61,12,3
61,36,5
61,14,2
61,21,2
61,158,3
61,153,4
61,159,4
61,154,5
61,156,4
62,37,3
62,12,3
62,5,2
62,16,1
62,30,3
62,165,1
62,160,1
62,153,3
62,152,3
62,154,2
63,29,2
63,19,5
63,17,1
63,31,3
63,43,2
63,158,2
63,165,1
63,155,3
63,163,2
63,164,2
64,31,5
64,8,1
64,41,3
64,40,1
64,26,3
64,158,5
64,152,1
64,161,1
64,160,4
64,157,5
65,27,1
65,19,4
65,33,2
65,15,5
65,29,5
65,157,5
65,155,3
65,164,3
65,159,3
65,154,2
66,5,2
66,20,1
66,28,5
66,16,3
66,29,3
66,152,1
66,155,3
66,157,2
66,154,3
66,158,4
67,5,3
67,8,2
67,50,3
67,27,5
67,30,5
67,152,1
67,165,4
67,163,5
67,157,4
67,158,5
68,24,4
68,15,4
68,23,5
68,27,3
68,30,4
68,177,5
68,173,4
68,180,1
68,178,2
68,174,2
69,22,4
69,2,1
69,4,5
69,26,1
69,6,4
69,176,1
69,166,1
69,167,2
69,168,1
69,178,4
70,30,2
70,4,5
70,10,3
70,23,3
70,15,1
70,180,4
70,167,5
70,170,5
70,177,5
70,173,5
71,11,2
71,17,2
71,20,2
71,26,4
71,1,1
71,171,3
71,174,3
71,175,3
71,166,4
71,170,5
72,3,3
72,26,3
72,20,5
72,24,3
72,6,4
72,167,5
72,178,3
72,175,4
72,177,1
72,168,1
73,9,4
73,4,2
73,17,3
73,16,3
73,19,1
73,170,1
73,167,3
73,174,4
73,173,3
73,175,5
74,28,3
74,20,1
74,17,1
74,4,5
74,11,5
74,179,4
74,175,1
74,174,5
74,167,2
74,171,2
75,15,5
75,19,2
75,14,5
75,2,1
75,24,1
75,173,4
75,175,5
75,172,5
75,180,2
75,166,5
76,12,5
76,15,2
76,13,4
76,7,3
76,30,2
76,171,1
76,173,1
76,172,1
76,169,4
76,170,3
77,26,5
77,9,4
77,11,4
77,7,1
77,8,3
77,178,1
77,170,3
77,171,4
77,169,5
77,177,5
78,27,2
78,7,5
78,4,3
78,10,3
78,30,2
78,179,1
78,169,3
78,167,5
78,170,1
78,176,4
79,5,2
79,15,4
79,12,2
79,20,1
79,6,5
79,168,3
79,173,4
79,171,5
79,175,3
79,180,2
80,9,4
80,13,2
80,18,2
80,29,5
80,23,5
80,170,4
80,172,3
80,174,3
80,177,2
80,179,5
81,17,2
81,27,2
81,15,5
81,11,5
81,18,1
81,174,3
81,179,1
81,173,4
81,171,1
81,180,4
82,5,1
82,25,5
82,16,1
82,17,5
82,10,2
82,168,2
82,178,1
82,173,1
82,174,2
82,170,2
83,16,3
83,28,5
83,15,1
83,3,5
83,5,1
83,173,3
83,179,4
83,180,1
83,167,1
83,168,2
84,24,5
84,10,5
84,30,2
84,25,3
84,2,3
84,177,5
84,170,3
84,178,3
84,166,3
84,173,1
85,7,5
85,23,3
85,20,1
85,27,3
85,4,5
85,169,4
85,177,5
85,175,3
85,167,3
85,171,4
86,26,5
86,25,2
86,1,1
86,18,4
86,27,3
